state,flux
Alabama,20.59
Arizona,-7.66
Arkansas,20.09
California,-8.45
Colorado,-45.89
Connecticut,7.23
Delaware,19.73
District of Columbia,-3.65
Florida,-3.94
Georgia,12.68
Idaho,-3.3
Illinois,3.48
Indiana,8.16
Iowa,-1.73
Kansas,3.71
Kentucky,15.54
Louisiana,25.14
Maine,-21.7
Maryland,11.47
Massachusetts,-1.3
Michigan,14.89
Minnesota,-19.03
Mississippi,29.97
Missouri,0.15
Montana,-14.08
Nebraska,-5.44
Nevada,-3.58
New Hampshire,-17.44
New Jersey,9.85
New Mexico,-0.54
New York,-9.61
North Carolina,11.2
North Dakota,3.16
Ohio,14.26
Oklahoma,3.79
Oregon,-16.87
Pennsylvania,9.61
Rhode Island,-1.05
South Carolina,11.13
South Dakota,3.19
Tennessee,7.32
Texas,11.17
Utah,-24.05
Vermont,-34.13
Virginia,3.87
Washington,-8.02
West Virginia,21.5
Wisconsin,-7.92
Wyoming,-43.49
